sample	long_gene_metastasis_score
TCGA-EB-A430-01	-0.6500897533592058
TCGA-EB-A431-01	-0.08059493921391471
TCGA-EB-A44N-01	-2.3612678394196753
TCGA-EB-A44O-01	-1.0813111041742767
TCGA-EB-A44P-01	-1.0158098228442456
TCGA-EB-A44Q-06	0.7368435323140179
TCGA-EB-A44R-06	0.4524288964198483
TCGA-EB-A4IQ-01	-3.50213131824189
TCGA-EB-A4IS-01	0.28361052565137795
TCGA-EB-A4OY-01	-1.794142692902398
TCGA-EB-A4OZ-01	-3.3563432650370304
TCGA-EB-A4P0-01	-0.8469650757494744
TCGA-EB-A4XL-01	-1.9721745950447234
TCGA-EB-A51B-01	-1.9865736927150979
TCGA-EB-A550-01	-3.015029330898111
TCGA-EB-A551-01	0.6921974309718167
TCGA-EB-A553-01	-1.1256532669639676
TCGA-EB-A57M-01	-2.0798547906753218
TCGA-EB-A5FP-01	-2.206174893635651
TCGA-EB-A5KH-06	-0.2810309299142003
TCGA-EB-A5SE-01	-1.7200362982942825
TCGA-EB-A5SF-01	-4.356808173365947
TCGA-EB-A5SG-06	0.9170308512742309
TCGA-EB-A5SH-06	-0.48022130135037716
TCGA-EB-A5UL-06	0.20713629919659915
TCGA-EB-A5UM-01	-1.190427727553526
TCGA-EB-A5UN-06	-0.2829297530102738
TCGA-EB-A5VU-01	-2.1745041510693777
TCGA-EB-A5VV-06	1.349404980439549
TCGA-EB-A6L9-06	0.2349801944662936
TCGA-EB-A6QY-01	-2.452635818539258
TCGA-EB-A6QZ-01	-1.474063498528301
TCGA-EB-A6R0-01	-0.239867586677353
TCGA-EB-A82B-01	-0.2879244793464789
TCGA-EB-A82C-01	-2.096787473757326
TCGA-EB-A85I-01	-0.49476016352059715
TCGA-EB-A85J-01	-0.37355142511446143
TCGA-EB-A97M-01	-0.5983286675269841
TCGA-EE-A17X-06	-0.4646363439041179
TCGA-EE-A17Y-06	0.013543304997927358
TCGA-EE-A17Z-06	-1.0672395385699742
TCGA-EE-A180-06	0.12749547977333414
TCGA-EE-A181-06	0.7625983397958283
TCGA-EE-A182-06	-2.385890854881116
TCGA-EE-A183-06	0.2796295597785936
TCGA-EE-A184-06	0.18284031285765714
TCGA-EE-A185-06	-1.3940523539791398
TCGA-EE-A20B-06	1.1519598871820038
TCGA-EE-A20C-06	0.22679003195603026
TCGA-EE-A20F-06	0.5850672579445225
TCGA-EE-A20H-06	0.06756417064352166
TCGA-EE-A20I-06	0.019164132069788842
TCGA-EE-A29A-06	0.5099045661743883
TCGA-EE-A29B-06	-0.10161602639908618
TCGA-EE-A29C-06	0.1030084100886958
TCGA-EE-A29D-06	0.11672922848029602
TCGA-EE-A29E-06	-0.6323882559417233
TCGA-EE-A29G-06	-1.9377444822469145
TCGA-EE-A29H-06	0.019288001723121083
TCGA-EE-A29L-06	-0.8390246937291914
