category	term	goseq_p	goseq_padj	hyper_p	hyper_padj
GO:0043616	keratinocyte proliferation	9.445878923326016e-7	1.3941588850050274e-4	1.0653895075786134e-6	1.279046953284181e-4
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	9.599447578650476e-7	1.4069856985763677e-4	9.566103782391538e-6	9.091574686870273e-4
GO:0002706	regulation of lymphocyte mediated immunity	9.769641484229349e-7	1.4220555390768598e-4	3.172782389841811e-7	4.4499043110344466e-5
GO:0006958	complement activation, classical pathway	1.160499529325265e-6	1.6776371962971948e-4	6.41751508609846e-7	8.095019620286894e-5
GO:0001909	leukocyte mediated cytotoxicity	1.2684463091715942e-6	1.8089072838767343e-4	1.7566259772187133e-7	2.6161050378249003e-5
GO:0001912	positive regulation of leukocyte mediated cytotoxicity	1.284482942564711e-6	1.8194830191792477e-4	2.697478985186479e-7	3.976304226531007e-5
GO:0034113	heterotypic cell-cell adhesion	1.306989647689541e-6	1.8390215669423634e-4	1.752220105629309e-6	2.0250057316736797e-4
GO:0042060	wound healing	1.4126478299856575e-6	1.9745261655415423e-4	3.0817500151311795e-6	3.419631319212866e-4
GO:0045087	innate immune response	1.4926077640852641e-6	2.0718434754154593e-4	1.0006265487572476e-6	1.2250043324870508e-4
GO:0048583	regulation of response to stimulus	1.501904916794112e-6	2.0718434754154593e-4	1.5619683338112306e-5	0.0014102621593898147
GO:0002455	humoral immune response mediated by circulating immunoglobulin	1.883647270487994e-6	2.5649199542528774e-4	6.954289759937325e-7	8.660488782073671e-5
GO:0050900	leukocyte migration	1.9397360418791232e-6	2.62436339101928e-4	4.2870387670089647e-7	5.681702938368027e-5
GO:0031069	hair follicle morphogenesis	2.1065787879255784e-6	2.796317729431274e-4	2.1941246289210067e-6	2.4762753429213174e-4
GO:0030593	neutrophil chemotaxis	2.1541258247062704e-6	2.8415612285156587e-4	3.834319683140759e-7	5.176689919873962e-5
GO:0031347	regulation of defense response	2.2278438750262615e-6	2.9103990801101e-4	2.0195860035039756e-6	2.315471381477653e-4
GO:0048518	positive regulation of biological process	2.2338891830656507e-6	2.9103990801101e-4	2.9648941432890403e-5	0.0026276601714081884
GO:0060326	cell chemotaxis	2.670740842989028e-6	3.4371131848857575e-4	3.650319833253254e-7	5.0221447915406194e-5
GO:0042303	molting cycle	2.832633133105958e-6	3.601539452249057e-4	3.7768861381638205e-6	4.0503733116714266e-4
GO:0042633	hair cycle	2.832633133105958e-6	3.601539452249057e-4	3.7768861381638205e-6	4.0503733116714266e-4
GO:0006935	chemotaxis	2.9080254464451253e-6	3.653380063849453e-4	6.444187016011303e-7	8.095019620286894e-5
GO:0042330	taxis	2.9080254464451253e-6	3.653380063849453e-4	6.444187016011303e-7	8.095019620286894e-5
GO:0001816	cytokine production	3.626553750337907e-6	4.484806372379678e-4	3.785133580753444e-6	4.0503733116714266e-4
GO:0051546	keratinocyte migration	3.6416392527132382e-6	4.484806372379678e-4	5.566803201268727e-6	5.62363909409287e-4
GO:0002717	positive regulation of natural killer cell mediated immunity	3.6903573729720057e-6	4.484806372379678e-4	1.494222714056941e-6	1.769306666169391e-4
GO:0045954	positive regulation of natural killer cell mediated cytotoxicity	3.6973197611772198e-6	4.484806372379678e-4	2.1941246289210067e-6	2.4762753429213174e-4
GO:0009611	response to wounding	3.970947385446489e-6	4.7891894581276334e-4	7.709329095042042e-6	7.576120279386213e-4
GO:0002699	positive regulation of immune effector process	4.207769941598188e-6	5.017468496461659e-4	1.65832383381753e-6	1.947654154742117e-4
GO:0001942	hair follicle development	5.53824082811732e-6	6.530173794315316e-4	6.801391108648393e-6	6.776061790036875e-4
GO:0001817	regulation of cytokine production	5.6774242089482184e-6	6.657095297447839e-4	5.411351276926976e-6	5.583741467606221e-4
GO:1903037	regulation of leukocyte cell-cell adhesion	5.916966655902913e-6	6.891222430234162e-4	5.655112314320739e-6	5.67317725643593e-4
GO:0002159	desmosome assembly	5.9423978124827895e-6	6.891222430234162e-4	1.2799979855868987e-5	0.0011777612038081744
GO:0042445	hormone metabolic process	6.386663392086003e-6	7.365951778872523e-4	5.171798841108732e-6	5.374950076162355e-4
GO:0007165	signal transduction	6.541741668867354e-6	7.503804329517085e-4	4.2752888132957e-5	0.003590745476562191
GO:0042098	T cell proliferation	7.194164811557586e-6	8.207569865553211e-4	4.252837006342645e-6	4.463858871849658e-4
GO:0022404	molting cycle process	7.295964472768952e-6	8.234685891030027e-4	9.438155611986028e-6	9.029377216605971e-4
GO:0022405	hair cycle process	7.295964472768952e-6	8.234685891030027e-4	9.438155611986028e-6	9.029377216605971e-4
GO:0042129	regulation of T cell proliferation	7.398795900478255e-6	8.30632905720713e-4	4.264242865258568e-6	4.463858871849658e-4
GO:0050855	regulation of B cell receptor signaling pathway	7.56505892014637e-6	8.448049395164512e-4	5.566803201268727e-6	5.62363909409287e-4
GO:0046631	alpha-beta T cell activation	8.054898136704134e-6	8.947720003856708e-4	7.102840048906539e-6	7.027919681267389e-4
