category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	padj
GO:1902366	0.9999999999816984	0.9298257280816766	0	1	regulation of Notch signaling pathway involved in somitogenesis	BP	1
GO:1902367	0.9999999999816984	0.9298257280816766	0	1	negative regulation of Notch signaling pathway involved in somitogenesis	BP	1
GO:0071494	0.9999999999817073	0.7206940023192316	0	5	cellular response to UV-C	BP	1
GO:0015143	0.9999999999817142	0.800520265479734	0	4	urate transmembrane transporter activity	MF	1
GO:0015747	0.9999999999817142	0.800520265479734	0	4	urate transport	BP	1
GO:1901702	0.9999999999817142	0.800520265479734	0	4	salt transmembrane transporter activity	MF	1
GO:0032185	0.9999999999817341	0.8068145885224105	0	4	septin cytoskeleton organization	BP	1
GO:0000349	0.9999999999817412	0.9518143288259951	0	1	generation of catalytic spliceosome for first transesterification step	BP	1
GO:0009957	0.9999999999817546	0.8239489009992279	0	4	epidermal cell fate specification	BP	1
GO:0060480	0.999999999981759	0.8513650283138233	0	2	lung goblet cell differentiation	BP	1
GO:0180007	0.9999999999817839	0.8915789142168354	0	2	RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity	MF	1
GO:0050747	0.9999999999818195	0.8230170093308021	0	4	positive regulation of lipoprotein metabolic process	BP	1
GO:1903061	0.9999999999818195	0.8230170093308021	0	4	positive regulation of protein lipidation	BP	1
GO:2000852	0.9999999999818235	0.8421122750097378	0	2	regulation of corticosterone secretion	BP	1
GO:0009189	0.999999999981824	0.7525205803825623	0	4	deoxyribonucleoside diphosphate biosynthetic process	BP	1
GO:0061534	0.999999999981829	0.9079262183568703	0	2	gamma-aminobutyric acid secretion, neurotransmission	BP	1
GO:0070164	0.9999999999818399	0.7909475818088127	0	4	negative regulation of adiponectin secretion	BP	1
GO:0010499	0.9999999999818435	0.8216386411270187	0	4	proteasomal ubiquitin-independent protein catabolic process	BP	1
GO:0090206	0.9999999999818486	0.6832720798132991	0	6	negative regulation of cholesterol metabolic process	BP	1
GO:0006668	0.9999999999818883	0.8916427734492947	0	2	sphinganine-1-phosphate metabolic process	BP	1
GO:1904010	0.9999999999819146	0.7567631092015539	0	4	response to Aroclor 1254	BP	1
GO:0099191	0.9999999999819279	0.8179260368899863	0	4	trans-synaptic signaling by BDNF	BP	1
GO:0160010	0.9999999999819328	0.8794792324426011	0	2	protein de-2-hydroxyisobutyrylase activity	MF	1
GO:0031696	0.9999999999819333	0.882697061953451	0	2	alpha-2C adrenergic receptor binding	MF	1
GO:0018401	0.9999999999819436	0.9036739365585339	0	2	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	BP	1
GO:0023021	0.9999999999819467	0.8858531083461251	0	2	termination of signal transduction	BP	1
GO:0021886	0.9999999999819836	0.7122896137239693	0	6	hypothalamus gonadotrophin-releasing hormone neuron differentiation	BP	1
GO:0021888	0.9999999999819836	0.7122896137239693	0	6	hypothalamus gonadotrophin-releasing hormone neuron development	BP	1
GO:0016421	0.9999999999819867	0.719692930393374	0	6	CoA carboxylase activity	MF	1
GO:0008592	0.9999999999819887	0.7267075983988146	0	6	regulation of Toll signaling pathway	BP	1
GO:0033088	0.9999999999820013	0.7342231355014256	0	4	negative regulation of immature T cell proliferation in thymus	BP	1
GO:0006172	0.9999999999820371	0.795867697009726	0	4	ADP biosynthetic process	BP	1
GO:1905448	0.9999999999820393	0.7467409602639228	0	4	positive regulation of mitochondrial ATP synthesis coupled electron transport	BP	1
GO:0030305	0.999999999982046	0.9054218363604043	0	2	heparanase activity	MF	1
GO:0061768	0.9999999999820527	0.903142026477917	0	2	magnesium:sodium antiporter activity	MF	1
GO:0038189	0.9999999999820597	0.8241996809088947	0	4	neuropilin signaling pathway	BP	1
GO:0051001	0.9999999999820607	0.8862131425330928	0	2	negative regulation of nitric-oxide synthase activity	BP	1
GO:1903108	0.999999999982066	0.7562481393058996	0	4	regulation of mitochondrial transcription	BP	1
GO:0140820	0.9999999999820931	0.8132792343004774	0	4	cytosol to Golgi apparatus transport	BP	1
GO:0048696	0.9999999999821122	0.9438011919539123	0	1	regulation of collateral sprouting in absence of injury	BP	1
GO:0048697	0.9999999999821122	0.9438011919539123	0	1	positive regulation of collateral sprouting in absence of injury	BP	1
GO:0060064	0.9999999999821122	0.9438011919539123	0	1	Spemann organizer formation at the anterior end of the primitive streak	BP	1
GO:0004905	0.9999999999821146	0.9077593757269439	0	2	type I interferon receptor activity	MF	1
GO:0019962	0.9999999999821146	0.9077593757269439	0	2	type I interferon binding	MF	1
GO:0032476	0.9999999999821301	0.7812481671433444	0	4	polyprenyl diphosphate synthase complex	CC	1
GO:0033278	0.9999999999821435	0.7263272959681398	0	6	cell proliferation in midbrain	BP	1
GO:0160024	0.9999999999821465	0.8514021821864391	0	2	Leydig cell proliferation	BP	1
GO:0141106	0.9999999999821467	0.8568794878075631	0	2	tRNA methyltransferase activator activity	MF	1
GO:0141107	0.9999999999821467	0.8568794878075631	0	2	methyltransferase regulator activity	MF	1
GO:0016413	0.9999999999821491	0.709426361492593	0	6	O-acetyltransferase activity	MF	1
GO:0033316	0.9999999999821538	0.8813105044744789	0	2	meiotic spindle assembly checkpoint signaling	BP	1
GO:0000213	0.9999999999821543	0.8922253666670059	0	2	tRNA-intron lyase activity	MF	1
GO:1904059	0.9999999999821753	0.9084127022094944	0	2	regulation of locomotor rhythm	BP	1
GO:0021730	0.9999999999821754	0.9031195252079606	0	2	trigeminal sensory nucleus development	BP	1
GO:0021740	0.9999999999821754	0.9031195252079606	0	2	principal sensory nucleus of trigeminal nerve development	BP	1
GO:0021605	0.9999999999822107	0.9072852203044764	0	2	cranial nerve maturation	BP	1
GO:0002574	0.9999999999822218	0.9458525189236355	0	1	thrombocyte differentiation	BP	1
GO:0043363	0.9999999999822218	0.9458525189236355	0	1	nucleate erythrocyte differentiation	BP	1
GO:0034159	0.9999999999822299	0.893337675900103	0	2	regulation of toll-like receptor 8 signaling pathway	BP	1
GO:0034161	0.9999999999822299	0.893337675900103	0	2	positive regulation of toll-like receptor 8 signaling pathway	BP	1
GO:0018208	0.999999999982232	0.7144238012393961	0	6	peptidyl-proline modification	BP	1
GO:0035290	0.9999999999822505	0.8240774368680424	0	4	trunk segmentation	BP	1
GO:0036484	0.9999999999822505	0.8240774368680424	0	4	trunk neural crest cell migration	BP	1
GO:0070772	0.9999999999822548	0.9459434185935612	0	1	PAS complex	CC	1
GO:0001842	0.99999999998226	0.6949044289526557	0	6	neural fold formation	BP	1
GO:0004720	0.999999999982265	0.7602636649174572	0	5	protein-lysine 6-oxidase activity	MF	1
GO:0052597	0.999999999982265	0.7602636649174572	0	5	diamine oxidase activity	MF	1
GO:0036505	0.9999999999823068	0.9077094145011861	0	2	prosaposin receptor activity	MF	1
GO:2000097	0.9999999999823294	0.7481122519335529	0	4	regulation of smooth muscle cell-matrix adhesion	BP	1
GO:0015938	0.9999999999823348	0.7372539097935318	0	4	coenzyme A catabolic process	BP	1
GO:0016972	0.999999999982366	0.8020822482875423	0	4	thiol oxidase activity	MF	1
GO:0046294	0.9999999999823778	0.876988191293233	0	2	formaldehyde catabolic process	BP	1
GO:0032478	0.9999999999823834	0.8659537004756078	0	2	heterotetrameric polyprenyl diphosphate synthase complex	CC	1
GO:0052923	0.9999999999823834	0.8659537004756078	0	2	all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity	MF	1
GO:0097269	0.9999999999823834	0.8659537004756078	0	2	all-trans-decaprenyl-diphosphate synthase activity	MF	1
GO:0000248	0.9999999999823856	0.9511717431733033	0	1	C-5 sterol desaturase activity	MF	1
